Project Name,Project ID,Created Date,Last Modified Date , Status ,# of Files in Deposit ,Total File Size ,,,,,,
  Replication data for: Media Markets and Localism: Does Local News en Español Boost Hispanic Voter Turnout?  ,113346,  2009-12-01T00:00:00  ,  2019-10-12T14:08:10.679Z  ,  PUBLISHED  ,8,24043588,,,,,,
  Replication data for: School Quality and the Gender Gap in Educational Achievement  ,113467,  2016-05-01T00:00:00  ,  2019-10-12T15:05:01.415Z  ,  PUBLISHED  ,4,280530,,,,,,
  Replication data for: Risk Taking by Entrepreneurs  ,113334,  2009-12-01T00:00:00  ,  2019-10-12T13:59:21.684Z  ,  PUBLISHED  ,10,14643546,,,,,,
  Replication data for: Crises and the Development of Economic Institutions: Some Microeconomic Evidence  ,113455,  2016-05-01T00:00:00  ,  2019-10-12T15:03:11.699Z  ,  PUBLISHED  ,4,9438586,,,,,,
  Replication data for: The Dynamic Behavior of the Real Exchange Rate in Sticky Price Models  ,113237,  2008-03-01T00:00:00  ,  2019-10-12T12:18:14.643Z  ,  PUBLISHED  ,40,317945,,,,,,
  Replication data for: The Effects of Peer Group Heterogeneity on the Production of Human Capital at West Point  ,113576,  2009-10-01T00:00:00  ,  2019-10-12T16:18:57.606Z  ,  PUBLISHED  ,7,56974,,,,,,
  Replication data for: Property Rights and Gender Bias: Evidence from Land Reform in West Bengal  ,113697,  2019-04-01T00:00:00  ,  2019-10-12T17:26:52.396Z  ,  PUBLISHED  ,12,8042525,,,,,,
  Replication data for: Temporary Investment Tax Incentives: Theory with Evidence from Bonus Depreciation  ,113249,  2008-06-01T00:00:00  ,  2019-10-12T12:23:45.089Z  ,  PUBLISHED  ,68,1624456,,,,,,
  Replication data for: The Retirement Consumption Puzzle in China  ,113358,  2015-05-01T00:00:00  ,  2019-10-12T14:14:20.024Z  ,  PUBLISHED  ,7,101087,,,,,,
  Replication data for: Converging to American: Healthy Immigrant Effect in Children of Immigrants  ,113479,  2016-05-01T00:00:00  ,  2019-10-12T15:13:08.377Z  ,  PUBLISHED  ,12,622375838,,,,,,
  Replication data for: The Impacts of Microcredit: Evidence from Bosnia and Herzegovina  ,113588,  2015-01-01T00:00:00  ,  2019-10-12T16:29:50.749Z  ,  PUBLISHED  ,54,14383470,,,,,,
  Replication data for: Labor Supply Responses to Large Social Transfers: Longitudinal Evidence from South Africa  ,113552,  2009-01-01T00:00:00  ,  2019-10-12T16:09:39.246Z  ,  PUBLISHED  ,43,691710,,,,,,
  Replication data for: Vocational Training for Disadvantaged Youth in Colombia: A Long-Term Follow-Up  ,113673,  2017-04-01T00:00:00  ,  2019-10-12T17:16:29.426Z  ,  PUBLISHED  ,65,24744545,,,,,,
  Replication data for: Task Specialization  Immigration  and Wages  ,113564,  2009-07-01T00:00:00  ,  2019-10-12T16:14:33.921Z  ,  PUBLISHED  ,70,4880821,,,,,,
  Replication data for: The Big Sort: College Reputation and Labor Market Outcomes  ,113685,  2017-07-01T00:00:00  ,  2019-10-12T17:23:19.112Z  ,  PUBLISHED  ,3,93527,,,,,,
  Replication data for: Hindsight  Foresight  and Insight: An Experimental Study of a Small-Market Investment Game with Common and Private Values  ,113322,  2009-09-01T00:00:00  ,  2019-10-12T13:47:53.634Z  ,  PUBLISHED  ,20,952944,,,,,,
  Replication data for: Estimating the Top Tail of the Wealth Distribution  ,113443,  2016-05-01T00:00:00  ,  2019-10-12T15:01:35.108Z  ,  PUBLISHED  ,13,141169,,,,,,
  Replication data for: Cooperation among Strangers under the Shadow of the Future  ,113310,  2009-06-01T00:00:00  ,  2019-10-12T13:37:50.876Z  ,  PUBLISHED  ,12,1310928,,,,,,
  Replication data for: How to Restore Equitable and Sustainable Economic Growth in the United States  ,113431,  2016-05-01T00:00:00  ,  2019-10-12T15:00:06.274Z  ,  PUBLISHED  ,2,15876,,,,,,
  Replication data for: The Impact of Indonesian Forest Fires on Singaporean Pollution and Health  ,113540,  2017-05-01T00:00:00  ,  2019-10-12T16:05:01.416Z  ,  PUBLISHED  ,4,70829,,,,,,
  Replication data for: A Short-Run View of What Computers Do: Evidence from a UK Tax Incentive  ,113661,  2017-07-01T00:00:00  ,  2019-10-12T17:12:33.435Z  ,  PUBLISHED  ,4,88825,,,,,,
  Replication data for: Defined Contribution Pension Plans: Mutual Fund Asset Allocation Changes  ,113357,  2015-05-01T00:00:00  ,  2019-10-12T14:13:36.342Z  ,  PUBLISHED  ,9,86852,,,,,,
  Replication data for: What Makes US Government Bonds Safe Assets?  ,113478,  2016-05-01T00:00:00  ,  2019-10-12T15:12:24.148Z  ,  PUBLISHED  ,2,27128,,,,,,
  Replication data for: A Model of Housing in the Presence of Adjustment Costs: A Structural Interpretation of Habit Persistence  ,113236,  2008-03-01T00:00:00  ,  2019-10-12T12:18:05.966Z  ,  PUBLISHED  ,4,8776860,,,,,,
  Replication data for: Intra-industry Foreign Direct Investment  ,113345,  2009-12-01T00:00:00  ,  2019-10-12T14:07:58.133Z  ,  PUBLISHED  ,2,25465,,,,,,
  Replication data for: Childhood Environment and Gender Gaps in Adulthood  ,113466,  2016-05-01T00:00:00  ,  2019-10-12T15:04:51.599Z  ,  PUBLISHED  ,2,27336,,,,,,
  Replication data for: Default Risk and Income Fluctuations in Emerging Economies  ,113248,  2008-06-01T00:00:00  ,  2019-10-12T12:23:22.849Z  ,  PUBLISHED  ,13,77329,,,,,,
  Replication data for: One Laptop per Child at Home: Short-Term Impacts from a Randomized Experiment in Peru  ,113587,  2015-04-01T00:00:00  ,  2019-10-12T16:28:56.271Z  ,  PUBLISHED  ,55,51719204,,,,,,
  Replication data for: Evaluating Econometric Evaluations of Post-Secondary Aid  ,113369,  2015-05-01T00:00:00  ,  2019-10-12T14:20:55.963Z  ,  PUBLISHED  ,7,101807,,,,,,
  Replication data for: Monetary Policy  Financial Stability  and the Zero Lower Bound  ,113430,  2016-05-01T00:00:00  ,  2019-10-12T15:00:01.133Z  ,  PUBLISHED  ,2,28307,,,,,,
  Replication data for: Early Childhood Intervention and Life-Cycle Skill Development: Evidence from Head Start  ,113563,  2009-07-01T00:00:00  ,  2019-10-12T16:14:21.501Z  ,  PUBLISHED  ,7,46215837,,,,,,
  Replication data for: The Persistent Effect of Temporary Affirmative Action  ,113684,  2017-07-01T00:00:00  ,  2019-10-12T17:22:59.733Z  ,  PUBLISHED  ,19,1918667,,,,,,
  Replication data for: Peer Effects in the Workplace: Evidence from Random Groupings in Professional Golf Tournaments  ,113575,  2009-10-01T00:00:00  ,  2019-10-12T16:18:30.213Z  ,  PUBLISHED  ,36,9436555,,,,,,
  Replication data for: Paying to Avoid Recession: Using Reenlistment to Estimate the Cost of Unemployment  ,113696,  2018-07-01T00:00:00  ,  2019-10-12T17:26:43.27Z  ,  PUBLISHED  ,6,36120,,,,,,
  Replication data for: Selling to Overconfident Consumers  ,113333,  2009-12-01T00:00:00  ,  2019-10-12T13:58:39.92Z  ,  PUBLISHED  ,20,129409,,,,,,
  Replication data for: Revenue and Incentive Effects of Basis Step-Up at Death: Lessons from the 2010  Voluntary  Estate Tax Regime  ,113454,  2016-05-01T00:00:00  ,  2019-10-12T15:03:04.834Z  ,  PUBLISHED  ,3,18127,,,,,,
  Replication data for: The Long-Run Effects of Labor Migration on Human Capital Formation in Communities of Origin  ,113660,  2016-10-01T00:00:00  ,  2019-10-12T17:12:07.225Z  ,  PUBLISHED  ,27,54361917,,,,,,
  Replication data for: Technological Revolutions and Stock Prices  ,113321,  2009-09-01T00:00:00  ,  2019-10-12T13:46:28.732Z  ,  PUBLISHED  ,22,1682003,,,,,,
  Replication data for: Estimating Top Income and Wealth Shares: Sensitivity to Data and Methods  ,113442,  2016-05-01T00:00:00  ,  2019-10-12T15:01:27.87Z  ,  PUBLISHED  ,3,109759,,,,,,
  Replication data for: Fixing Market Failures or Fixing Elections? Agricultural Credit in India  ,113551,  2009-01-01T00:00:00  ,  2019-10-12T16:09:27.427Z  ,  PUBLISHED  ,13,188419,,,,,,
  Replication data for: Wealth Heterogeneity and the Income Elasticity of Migration  ,113672,  2017-04-01T00:00:00  ,  2019-10-12T17:15:39.966Z  ,  PUBLISHED  ,54,104134220,,,,,,
  Replication data for: Gibrat's Law for (All) Cities: Comment  ,113328,  2009-09-01T00:00:00  ,  2019-10-12T13:52:42.221Z  ,  PUBLISHED  ,3,1355802,,,,,,
  Replication data for: Does the Market Value CEO Styles?  ,113449,  2016-05-01T00:00:00  ,  2019-10-12T15:02:25.374Z  ,  PUBLISHED  ,4,55365,,,,,,
  Replication data for: One Chance in a Million: Altruism and the Bone Marrow Registry  ,113316,  2009-09-01T00:00:00  ,  2019-10-12T13:43:24.703Z  ,  PUBLISHED  ,19,957965,,,,,,
  Replication data for: Global Cycles: Capital Flows  Commodities  and Sovereign Defaults  1815-2015  ,113437,  2016-05-01T00:00:00  ,  2019-10-12T15:00:51.044Z  ,  PUBLISHED  ,5,4828058,,,,,,
  Replication data for: Are There Missing Girls in the United States? Evidence from Birth Data  ,113558,  2009-04-01T00:00:00  ,  2019-10-12T16:12:19.468Z  ,  PUBLISHED  ,23,141329424,,,,,,
  Replication data for: The Use of Violence in Illegal Markets: Evidence from Mahogany Trade in the Brazilian Amazon  ,113679,  2017-10-01T00:00:00  ,  2019-10-12T17:21:40.266Z  ,  PUBLISHED  ,5,3626184,,,,,,
  Replication data for: The Catch-22 of External Validity in the Context of Constraints to Firm Growth  ,113401,  2015-05-01T00:00:00  ,  2019-10-12T14:43:56.1Z  ,  PUBLISHED  ,4,327532,,,,,,
  Replication data for: Firm-Related Risk and Precautionary Saving Response  ,113522,  2017-05-01T00:00:00  ,  2019-10-12T16:01:00.121Z  ,  PUBLISHED  ,3,31806,,,,,,
  Replication data for: Replication in Labor Economics: Evidence from Data  and What It Suggests  ,113534,  2017-05-01T00:00:00  ,  2019-10-12T16:02:47.632Z  ,  PUBLISHED  ,2,242519,,,,,,
  Replication data for: Education and Mortality: Evidence from a Social Experiment  ,113655,  2018-04-01T00:00:00  ,  2019-10-12T17:11:10.932Z  ,  PUBLISHED  ,5,2720404,,,,,,
  Replication data for: Assortative Matching under Asymmetric Information: Evidence from Malawi  ,113510,  2017-05-01T00:00:00  ,  2019-10-12T15:30:01.127Z  ,  PUBLISHED  ,3,40567,,,,,,
  Replication data for: Labor Supply and the Value of Non-work Time: Experimental Estimates from the Field  ,113546,  2019-06-01T00:00:00  ,  2019-10-12T16:07:41.945Z  ,  PUBLISHED  ,4,2596731,,,,,,
  Replication data for: Politics and Local Economic Growth: Evidence from India  ,113667,  2017-01-01T00:00:00  ,  2019-10-12T17:14:37.176Z  ,  PUBLISHED  ,22,21619642,,,,,,
  Replication data for: Strategic Leniency and Cartel Enforcement  ,113304,  2009-06-01T00:00:00  ,  2019-10-12T13:09:02.414Z  ,  PUBLISHED  ,9,812481,,,,,,
  Replication data for: Child Gender and Parental Inputs: No More Son Preference in Korea?  ,113425,  2015-05-01T00:00:00  ,  2019-10-12T14:54:37.813Z  ,  PUBLISHED  ,5,9290008,,,,,,
  Replication data for: Moving Up the Energy Ladder: The Effect of an Increase in Economic Well-Being on the Fuel Consumption Choices of the Poor in India  ,113413,  2015-05-01T00:00:00  ,  2019-10-12T14:46:43.239Z  ,  PUBLISHED  ,17,421224,,,,,,
  Replication data for: Beyond Statistics: The Economic Content of Risk Scores  ,113643,  2016-04-01T00:00:00  ,  2019-10-12T17:07:18.391Z  ,  PUBLISHED  ,59,2890638,,,,,,
  Replication data for: Strategy-Proofness versus Efficiency in Matching with Indifferences: Redesigning the NYC High School Match  ,113339,  2009-12-01T00:00:00  ,  2019-10-12T14:03:54.443Z  ,  PUBLISHED  ,14,49197,,,,,,
  Replication data for: Offshoring and Volatility: Evidence from Mexico's Maquiladora Industry  ,113327,  2009-09-01T00:00:00  ,  2019-10-12T13:52:30.583Z  ,  PUBLISHED  ,11,1393779,,,,,,
  Replication data for: Productivity and Selection of Human Capital with Machine Learning  ,113448,  2016-05-01T00:00:00  ,  2019-10-12T15:02:17.158Z  ,  PUBLISHED  ,2,27502,,,,,,
  Replication data for: To Work or Not to Work? Child Development and Maternal Labor Supply  ,113569,  2009-07-01T00:00:00  ,  2019-10-12T16:16:05.856Z  ,  PUBLISHED  ,4,48633,,,,,,
  Replication data for: Pay as You Go: Prepaid Metering and Electricity Expenditures in South Africa  ,113412,  2015-05-01T00:00:00  ,  2019-10-12T14:46:23.442Z  ,  PUBLISHED  ,3,32208,,,,,,
  Replication data for: The Violent Consequences of Trade-Induced Worker Displacement in Mexico  ,113545,  2019-06-01T00:00:00  ,  2019-10-12T16:06:24.896Z  ,  PUBLISHED  ,96,8665696,,,,,,
  Replication data for: Tax Me but Spend Wisely? Sources of Public Finance and Government Accountability  ,113666,  2017-01-01T00:00:00  ,  2019-10-12T17:14:26.713Z  ,  PUBLISHED  ,4,50024065,,,,,,
  Replication data for: Loyalty  Exit  and Enforcement: Evidence from a Kenya Dairy Cooperative  ,113400,  2015-05-01T00:00:00  ,  2019-10-12T14:43:47.934Z  ,  PUBLISHED  ,4,19656890,,,,,,
  Replication data for: The Evolution of Egalitarian Sociolinguistic Conventions  ,113521,  2017-05-01T00:00:00  ,  2019-10-12T16:00:52.424Z  ,  PUBLISHED  ,4,78937,,,,,,
  Replication data for: A Biological Model of Unions  ,113557,  2009-04-01T00:00:00  ,  2019-10-12T16:12:06.582Z  ,  PUBLISHED  ,9,94559,,,,,,
  Replication data for: Do the Effects of Temporary Ethnic Group Quotas Persist? Evidence from India  ,113678,  2017-07-01T00:00:00  ,  2019-10-12T17:21:31.333Z  ,  PUBLISHED  ,7,1715722,,,,,,
  Replication data for: Active and Passive Waste in Government Spending: Evidence from a Policy Experiment  ,113315,  2009-09-01T00:00:00  ,  2019-10-12T13:42:57.375Z  ,  PUBLISHED  ,4,18311581,,,,,,
  Replication data for: Capital Flows: Expansionary or Contractionary?  ,113436,  2016-05-01T00:00:00  ,  2019-10-12T15:00:43.91Z  ,  PUBLISHED  ,3,105621,,,,,,
  Replication data for: Immigrants' Effect on Native Workers: New Analysis on Longitudinal Data  ,113642,  2016-04-01T00:00:00  ,  2019-10-12T17:07:01.719Z  ,  PUBLISHED  ,16,210515,,,,,,
  Replication data for: Should Urban Transit Subsidies Be Reduced?  ,113303,  2009-06-01T00:00:00  ,  2019-10-12T13:08:42.298Z  ,  PUBLISHED  ,4,661148,,,,,,
  Replication data for: Trust and Reciprocity between Spouses in India  ,113424,  2015-05-01T00:00:00  ,  2019-10-12T14:53:48.826Z  ,  PUBLISHED  ,8,87922,,,,,,
  Replication data for: Replications in Development Economics  ,113533,  2017-05-01T00:00:00  ,  2019-10-12T16:02:42.115Z  ,  PUBLISHED  ,3,1060740,,,,,,
  Replication data for: Do Free Trade Agreements Affect Tariffs of Nonmember Countries? A Theoretical and Empirical Investigation  ,113654,  2018-07-01T00:00:00  ,  2019-10-12T17:10:55.21Z  ,  PUBLISHED  ,8,163317,,,,,,
  Replication data for: Innovation Diffusion in Heterogeneous Populations: Contagion  Social Influence  and Social Learning  ,113338,  2009-12-01T00:00:00  ,  2019-10-12T14:02:15.447Z  ,  PUBLISHED  ,3,40415,,,,,,
  Replication data for: Classroom Experiments: Is More More?  ,113459,  2016-05-01T00:00:00  ,  2019-10-12T15:03:54.311Z  ,  PUBLISHED  ,3,28753,,,,,,
  Replication data for: Distributional and Efficiency Impacts of Increased US Gasoline Taxes  ,113302,  2009-06-01T00:00:00  ,  2019-10-12T13:04:08.783Z  ,  PUBLISHED  ,282,856798987,,,,,,
  Replication data for: An A for Effort  ,113423,  2015-05-01T00:00:00  ,  2019-10-12T14:52:32.899Z  ,  PUBLISHED  ,1,14974,,,,,,
  Replication data for: A Cautionary Tale about the Use of Administrative Data: Evidence from Age of Marriage Laws  ,113556,  2009-04-01T00:00:00  ,  2019-10-12T16:11:25.588Z  ,  PUBLISHED  ,17,560448350,,,,,,
  Replication data for: The Distortionary Effects of Incentives in Government: Evidence from China's  Death Ceiling  Program  ,113677,  2017-04-01T00:00:00  ,  2019-10-12T17:21:19.857Z  ,  PUBLISHED  ,9,673946,,,,,,
  Replication data for: Satellites  Self-Reports  and Submersion: Exposure to Floods in Bangladesh  ,113411,  2015-05-01T00:00:00  ,  2019-10-12T14:46:05.579Z  ,  PUBLISHED  ,5,83784,,,,,,
  Replication data for: The Smuggling of Art and the Art of Smuggling: Uncovering the Illicit Trade in Cultural Property and Antiques  ,113568,  2009-07-01T00:00:00  ,  2019-10-12T16:15:53.558Z  ,  PUBLISHED  ,11,10255961,,,,,,
  Replication data for: Exploiting Externalities to Estimate the Long-Term Effects of Early Childhood Deworming  ,113689,  2018-07-01T00:00:00  ,  2019-10-12T17:24:43.703Z  ,  PUBLISHED  ,10,3209008,,,,,,
  Replication data for: Art as an Investment and Conspicuous Consumption Good  ,113326,  2009-09-01T00:00:00  ,  2019-10-12T13:52:22.371Z  ,  PUBLISHED  ,6,56430,,,,,,
  Replication data for: Regulation  Institutions  and Productivity: New Macroeconomic Evidence from OECD Countries  ,113447,  2016-05-01T00:00:00  ,  2019-10-12T15:02:10.655Z  ,  PUBLISHED  ,4,1204398,,,,,,
  Replication data for: Assessing the Rate of Replication in Economics  ,113532,  2017-05-01T00:00:00  ,  2019-10-12T16:02:32.126Z  ,  PUBLISHED  ,7,2641215,,,,,,
  Replication data for: Customary Norms  Inheritance and Human Capital: Evidence from a Reform of the Matrilineal System in Ghana  ,113653,  2017-10-01T00:00:00  ,  2019-10-12T17:10:43.501Z  ,  PUBLISHED  ,8,141219,,,,,,
  Replication data for: The Origins of State Capacity: Property Rights  Taxation  and Politics  ,113314,  2009-09-01T00:00:00  ,  2019-10-12T13:40:51.378Z  ,  PUBLISHED  ,3,67854,,,,,,
  Replication data for: Supply and Demand for Discrimination: Strategic Revelation of Own Characteristics in a Trust Game  ,113435,  2016-05-01T00:00:00  ,  2019-10-12T15:00:35.45Z  ,  PUBLISHED  ,5,267293,,,,,,
  Replication data for: Consumption Smoothing and Frequency of Benefit Payments of Cash Transfer Programs  ,113544,  2017-05-01T00:00:00  ,  2019-10-12T16:06:05.439Z  ,  PUBLISHED  ,14,1041256,,,,,,
  Replication data for: Does Early Life Exposure to Cigarette Smoke Permanently Harm Childhood Welfare? Evidence from Cigarette Tax Hikes  ,113665,  2016-10-01T00:00:00  ,  2019-10-12T17:13:43.394Z  ,  PUBLISHED  ,51,3564632,,,,,,
  Replication data for: Buy the Book? Evidence on the Effect of Textbook Funding on School-Level Achievement  ,113641,  2016-10-01T00:00:00  ,  2019-10-12T17:06:49.314Z  ,  PUBLISHED  ,11,18178961,,,,,,
  Replication data for: Is American Pet Health Care (Also) Uniquely Inefficient?  ,113520,  2017-05-01T00:00:00  ,  2019-10-12T16:00:36.993Z  ,  PUBLISHED  ,17,29983114,,,,,,
  Replication data for: The Retirement Consumption Puzzle: Evidence from a Regression Discontinuity Approach  ,113349,  2009-12-01T00:00:00  ,  2019-10-12T14:09:19.688Z  ,  PUBLISHED  ,7,15339456,,,,,,
  Replication data for: Decentralized Organizational Learning: An Experimental Investigation  ,113313,  2009-09-01T00:00:00  ,  2019-10-12T13:39:31.184Z  ,  PUBLISHED  ,26,8485933,,,,,,
  Replication data for: Determinants of Callbacks to Job Applications: An Audit Study  ,113434,  2016-05-01T00:00:00  ,  2019-10-12T15:00:28.439Z  ,  PUBLISHED  ,3,55702,,,,,,
  Replication data for: Team Production in International Labor Markets: Experimental Evidence from the Field  ,113688,  2017-07-01T00:00:00  ,  2019-10-12T17:24:33.196Z  ,  PUBLISHED  ,9,528327,,,,,,
  Replication data for: Economic Catastrophe Bonds  ,113301,  2009-06-01T00:00:00  ,  2019-10-12T13:02:25.909Z  ,  PUBLISHED  ,10,224697,,,,,,
  Replication data for: Academic Undermatching of High-Achieving Minority Students: Evidence from Race-Neutral and Holistic Admissions Policies  ,113422,  2015-05-01T00:00:00  ,  2019-10-12T14:51:50.789Z  ,  PUBLISHED  ,3,62711,,,,,,
  Replication data for: Saving Lives at Birth: The Impact of Home Births on Infant Outcomes  ,113579,  2015-07-01T00:00:00  ,  2019-10-12T16:19:31.798Z  ,  PUBLISHED  ,11,151074320,,,,,,
  Replication data for: The Relative Performance of Real Estate Marketing Platforms: MLS versus FSBOMadison.com  ,113337,  2009-12-01T00:00:00  ,  2019-10-12T14:01:40.703Z  ,  PUBLISHED  ,9,3353843,,,,,,
  Replication data for: Firm Entry and Macroeconomic Dynamics: A State-Level Analysis  ,113458,  2016-05-01T00:00:00  ,  2019-10-12T15:03:35.612Z  ,  PUBLISHED  ,19,8078591,,,,,,
  Replication data for: Excess Male Infant Mortality: The Gene-Institution Interactions  ,113543,  2017-05-01T00:00:00  ,  2019-10-12T16:05:57.008Z  ,  PUBLISHED  ,4,4161451,,,,,,
  Replication data for: The Local Political Economy Effects of School Construction in Indonesia  ,113664,  2017-04-01T00:00:00  ,  2019-10-12T17:13:33.293Z  ,  PUBLISHED  ,5,33734023,,,,,,
  Replication data for: VAR Analysis and the Great Moderation  ,113325,  2009-09-01T00:00:00  ,  2019-10-12T13:51:46.892Z  ,  PUBLISHED  ,54,7273600,,,,,,
  Replication data for: Market Regulations  Prices  and Productivity  ,113446,  2016-05-01T00:00:00  ,  2019-10-12T15:02:03.252Z  ,  PUBLISHED  ,4,782968,,,,,,
  Replication data for: Sticking with Your Vote: Cognitive Dissonance and Political Attitudes  ,113555,  2009-01-01T00:00:00  ,  2019-10-12T16:11:04.962Z  ,  PUBLISHED  ,16,484310,,,,,,
  Replication data for: Cycling to School: Increasing Secondary School Enrollment for Girls in India  ,113676,  2017-07-01T00:00:00  ,  2019-10-12T17:20:16.367Z  ,  PUBLISHED  ,46,550502339,,,,,,
  Replication data for: Ready for Boarding? The Effects of a Boarding School for Disadvantaged Students  ,113640,  2017-01-01T00:00:00  ,  2019-10-12T17:06:40.179Z  ,  PUBLISHED  ,5,772253,,,,,,
  Replication data for: Regression Discontinuity in Serial Dictatorship: Achievement Effects at Chicago's Exam Schools  ,113531,  2017-05-01T00:00:00  ,  2019-10-12T16:02:20.229Z  ,  PUBLISHED  ,9,142023,,,,,,
  Replication data for: Signing Up New Fathers: Do Paternity Establishment Initiatives Increase Marriage  Parental Investment  and Child Well-Being?  ,113652,  2017-04-01T00:00:00  ,  2019-10-12T17:10:10.275Z  ,  PUBLISHED  ,9,491041058,,,,,,
  Replication data for: Growth  Pollution  and Life Expectancy: China from 1991-2012  ,113410,  2015-05-01T00:00:00  ,  2019-10-12T14:45:48.186Z  ,  PUBLISHED  ,4,61635,,,,,,
  Replication data for: Can Hepatitis B Mothers Account for the Number of Missing Women? Evidence from Three Million Newborns in Taiwan  ,113279,  2008-12-01T00:00:00  ,  2019-10-12T12:45:58.821Z  ,  PUBLISHED  ,12,84367,,,,,,
  Replication data for: Cooperation in a Dynamic Fishing Game: A Framed Field Experiment  ,113364,  2015-05-01T00:00:00  ,  2019-10-12T14:16:40.017Z  ,  PUBLISHED  ,6,168891,,,,,,
  Replication data for: The Math Gender Gap: The Role of Culture  ,113485,  2016-05-01T00:00:00  ,  2019-10-12T15:16:21.526Z  ,  PUBLISHED  ,4,9817734,,,,,,
  Replication data for: Estimates of the Impact of Crime Risk on Property Values from Megan's Laws  ,113243,  2008-06-01T00:00:00  ,  2019-10-12T12:21:27.01Z  ,  PUBLISHED  ,3,7271959,,,,,,
  Replication data for: A Comment on the Economics of Labor Adjustment: Mind the Gap: Evidence from a Monte Carlo Experiment  ,113352,  2009-12-01T00:00:00  ,  2019-10-12T14:10:42.02Z  ,  PUBLISHED  ,10,38361,,,,,,
  Replication data for: How Mortgage Finance Reform Could Affect Housing  ,113473,  2016-05-01T00:00:00  ,  2019-10-12T15:09:19.276Z  ,  PUBLISHED  ,5,210241,,,,,,
  Replication data for: Does Innovation Cause Stock Market Runups? Evidence from the Great Crash  ,113255,  2008-09-01T00:00:00  ,  2019-10-12T12:26:19.096Z  ,  PUBLISHED  ,22,38021629,,,,,,
  Replication data for: Heterogeneity in the Impact of Economic Cycles and the Great Recession: Effects within and across the Income Distribution  ,113388,  2015-05-01T00:00:00  ,  2019-10-12T14:40:42Z  ,  PUBLISHED  ,13,3158630,,,,,,
  Replication data for: One Mandarin Benefits the Whole Clan: Hometown Favoritism in an Authoritarian Regime  ,113594,  2017-10-01T00:00:00  ,  2019-10-12T16:33:46.416Z  ,  PUBLISHED  ,5,7657797,,,,,,
  Replication data for: The Costs of Remoteness: Evidence from German Division and Reunification  ,113267,  2008-12-01T00:00:00  ,  2019-10-12T12:35:41.039Z  ,  PUBLISHED  ,60,8134590,,,,,,
  Replication data for: Wage Inequality and Firm Growth  ,113497,  2017-05-01T00:00:00  ,  2019-10-12T15:22:27.279Z  ,  PUBLISHED  ,5,52369,,,,,,
  Replication data for: Does Merger Simulation Work? Evidence from the Swedish Analgesics Market  ,113581,  2016-07-01T00:00:00  ,  2019-10-12T16:21:54.552Z  ,  PUBLISHED  ,20,375326,,,,,,
  Replication data for: Social Networks and the Decision to Insure  ,113593,  2015-04-01T00:00:00  ,  2019-10-12T16:33:26.311Z  ,  PUBLISHED  ,20,4237922,,,,,,
  Replication data for: Individual Behavior and Group Membership: Comment  ,113351,  2009-12-01T00:00:00  ,  2019-10-12T14:10:13.343Z  ,  PUBLISHED  ,8,168208,,,,,,
  Replication data for: Using Lagged Outcomes to Evaluate Bias in Value-Added Models  ,113472,  2016-05-01T00:00:00  ,  2019-10-12T15:07:12.026Z  ,  PUBLISHED  ,4,43911,,,,,,
  Replication data for: Measuring the Effect of Blended Learning: Evidence from a Selective Liberal Arts College  ,113460,  2016-05-01T00:00:00  ,  2019-10-12T15:04:00.529Z  ,  PUBLISHED  ,3,21372,,,,,,
  Replication data for: The Family Peer Effect on Mothers' Labor Supply  ,113690,  2018-07-01T00:00:00  ,  2019-10-12T17:24:56.901Z  ,  PUBLISHED  ,5,60395,,,,,,
  Replication data for: The Interaction of Public and Private Insurance: Medicaid and the Long-Term Care Insurance Market  ,113242,  2008-06-01T00:00:00  ,  2019-10-12T12:21:09.927Z  ,  PUBLISHED  ,10,148688,,,,,,
  Replication data for: Returns to Education through Access to Higher-Paying Firms: Evidence from US Matched Employer-Employee Data  ,113496,  2017-05-01T00:00:00  ,  2019-10-12T15:22:21.846Z  ,  PUBLISHED  ,2,15712,,,,,,
  Replication data for: Stationary Concepts for Experimental 2x2-Games  ,113254,  2008-06-01T00:00:00  ,  2019-10-12T12:26:05.689Z  ,  PUBLISHED  ,3,513900,,,,,,
  Replication data for: Standing United or Falling Divided? High Stakes Bargaining in a TV Game Show  ,113363,  2015-05-01T00:00:00  ,  2019-10-12T14:16:12.716Z  ,  PUBLISHED  ,5,271744,,,,,,
  Replication data for: Paid Parental Leave Laws in the United States: Does Short-Duration Leave Affect Women's Labor-Force Attachment?  ,113484,  2016-05-01T00:00:00  ,  2019-10-12T15:15:49.6Z  ,  PUBLISHED  ,4,3980354,,,,,,
  Replication data for: Land and Power: Theory and Evidence from Chile  ,113266,  2008-12-01T00:00:00  ,  2019-10-12T12:35:31.6Z  ,  PUBLISHED  ,5,1225272,,,,,,
  Replication data for: Understanding Ethnic Identity in Africa: Evidence from the Implicit Association Test (IAT)  ,113399,  2015-05-01T00:00:00  ,  2019-10-12T14:43:37.889Z  ,  PUBLISHED  ,5,192005,,,,,,
  Replication data for: The Impact of Nearly Universal Insurance Coverage on Health Care Utilization: Evidence from Medicare  ,113278,  2008-12-01T00:00:00  ,  2019-10-12T12:44:38.195Z  ,  PUBLISHED  ,95,51400744,,,,,,
  Replication data for: Trade Liberalization and the Skill Premium: A Local Labor Markets Approach  ,113387,  2015-05-01T00:00:00  ,  2019-10-12T14:33:57.9Z  ,  PUBLISHED  ,25,5299231189,,,,,,
